"category", "problem", "neighborhood", "neighborhood_size", "population", "inertia", "factor1", "factor2", "fitness"
"industrial", "c5_DD_s3_f1_e1_v2-bug-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "112462"
"industrial", "divider-problem.dimacs_11.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "127362"
"industrial", "divider-problem.dimacs_11.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "127549"
"industrial", "c6_DD_s3_f1_e1_v1-bug-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "173858"
"industrial", "divider-problem.dimacs_2.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "134870"
"industrial", "divider-problem.dimacs_2.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "134964"
"industrial", "divider-problem.dimacs_11.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "127427"
"industrial", "divider-problem.dimacs_2.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "134994"
"industrial", "divider-problem.dimacs_5.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "134930"
"industrial", "divider-problem.dimacs_5.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "135176"
"industrial", "divider-problem.dimacs_8.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "146017"
"industrial", "divider-problem.dimacs_5.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "135281"
"industrial", "divider-problem.dimacs_8.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "145916"
"industrial", "dividers10.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "27324"
"industrial", "dividers10.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "27302"
"industrial", "dividers_multivec1.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "65111"
"industrial", "divider-problem.dimacs_8.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "145814"
"industrial", "dividers_multivec1.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "65090"
"industrial", "dividers10.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "27387"
"industrial", "fpu_multivec1-problem.dimacs_14.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "158069"
"industrial", "dividers_multivec1.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "65175"
"industrial", "fpu_multivec1-problem.dimacs_14.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "158374"
"industrial", "rsdecoder1_blackbox_CSEEblock-problem.dimacs_32.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "143091"
"industrial", "rsdecoder1_blackbox_CSEEblock-problem.dimacs_32.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "143544"
"industrial", "fpu_multivec1-problem.dimacs_14.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "158175"
"industrial", "rsdecoder1_blackbox_CSEEblock-problem.dimacs_32.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "143393"
"industrial", "rsdecoder1_blackbox_KESblock-problem.dimacs_30.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "199057"
"industrial", "rsdecoder1_blackbox_KESblock-problem.dimacs_30.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "198583"
"industrial", "rsdecoder1_blackbox_KESblock-problem.dimacs_30.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "198943"
"industrial", "rsdecoder4.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "147217"
"industrial", "rsdecoder4.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "147006"
"industrial", "rsdecoder4.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "146899"
"industrial", "rsdecoder5.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "147158"
"industrial", "rsdecoder5.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "147523"
"industrial", "rsdecoder6.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "147373"
"industrial", "rsdecoder5.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "147766"
"industrial", "rsdecoder6.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "147432"
"industrial", "rsdecoder_fsm2.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "147405"
