@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

output,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t -D',-5990607817048210779,20160111.0057,358,183,140,43,0,76.502732,23.497268,0,0.543429,0.105133,0.217318,65.934289,77.771988,236.176688,159.831726,76.344962,1.290583,0.873397,0.417186,92.291804,0.504327,6389.876825,0.702703,52,0.165138,18,0.834862,91,0.297297,22,0.742857,0.702703,0.722222,0.853831,0.765027,0.224283,0.775717,0.234973,0.717432,0.765027,0.738735,0.859293,312.836,0.136,308.25,0.12,835357,94310,51435,?
output,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t',-5990607817048210779,20160111.0102,357,184,148,36,0,80.434783,19.565217,0,0.635082,0.076236,0.211519,47.698043,75.331899,246.778295,176.567242,70.211053,1.341186,0.959605,0.381582,131.061145,0.712289,9244.43904,0.77027,57,0.163636,18,0.836364,92,0.22973,17,0.76,0.77027,0.765101,0.870639,0.804348,0.159644,0.840356,0.195652,0.78787,0.804348,0.794448,0.89462,309.491,0.132,305.62,0.12,835357,94065,51680,?
output,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t',-5990607817048210779,20160111.0107,357,184,145,39,0,78.804348,21.195652,0,0.623524,0.085715,0.214544,53.644161,76.453825,242.960166,202.816639,40.143527,1.320436,1.102264,0.218171,126.120725,0.685439,8828.654665,0.689189,51,0.136364,15,0.863636,95,0.310811,23,0.772727,0.689189,0.728571,0.843735,0.788043,0.145001,0.854999,0.211957,0.796379,0.788043,0.788494,0.875693,301.926,0.131,300.24,0.12,835357,94065,51680,?
output,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t',-5990607817048210779,20160111.0112,357,184,135,49,0,73.369565,26.630435,0,0.508021,0.090256,0.249282,56.48622,88.832879,242.960166,350.742306,-107.78214,1.320436,1.906208,-0.585773,112.025026,0.608832,7841.932977,0.635135,47,0.190909,21,0.809091,89,0.364865,27,0.691176,0.635135,0.661972,0.785995,0.733696,0.220948,0.779052,0.266304,0.724907,0.733696,0.728093,0.817679,304.626,0.133,303.63,0.11,835357,94065,51680,?
output,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t',-5990607817048210779,20160111.0117,359,182,136,46,0,74.725275,25.274725,0,0.535457,0.092243,0.239265,57.865717,85.664348,234.82441,216.108795,18.715615,1.290244,1.187411,0.102833,108.331807,0.59523,7501.91349,0.767123,56,0.266055,29,0.733945,80,0.232877,17,0.658824,0.767123,0.708861,0.802061,0.747253,0.197518,0.802482,0.252747,0.753491,0.747253,0.746537,0.835124,302.318,0.131,301.6,0.11,835357,94555,51190,?
output,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t',-5990607817048210779,20160111.0123,356,185,138,47,0,74.594595,25.405405,0,0.552887,0.096029,0.243969,59.974694,86.572454,250.733714,274.887914,-24.1542,1.355317,1.485881,-0.130563,111.552097,0.602984,7908.259578,0.702703,52,0.198198,22,0.801802,89,0.297297,22,0.702703,0.702703,0.702703,0.792549,0.745946,0.162223,0.837777,0.254054,0.757748,0.745946,0.750316,0.847507,315.922,0.133,309.11,0.12,835357,93820,51925,?
output,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t',-5990607817048210779,20160111.0128,358,183,142,41,0,77.595628,22.404372,0,0.5962,0.076063,0.220548,47.688504,78.881284,239.994816,168.921459,71.073357,1.311447,0.923068,0.388379,132.016836,0.721403,9208.989996,0.689189,51,0.146789,16,0.853211,93,0.310811,23,0.761194,0.689189,0.723404,0.852281,0.775956,0.162688,0.837312,0.224044,0.783142,0.775956,0.777505,0.890466,298.425,0.134,297.36,0.11,835357,94310,51435,?
output,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t',-5990607817048210779,20160111.0133,357,184,138,46,0,75,25,0,0.540225,0.083695,0.237466,52.364447,84.572841,246.778295,226.078629,20.699665,1.341186,1.228688,0.112498,117.766808,0.640037,8306.718813,0.72973,54,0.218182,24,0.781818,86,0.27027,20,0.692308,0.72973,0.710526,0.832924,0.75,0.194309,0.805691,0.25,0.741937,0.75,0.745154,0.85142,299.712,0.128,298.62,0.12,835357,94065,51680,?
output,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t',-5990607817048210779,20160111.0138,357,184,140,44,0,76.086957,23.913043,0,0.551369,0.089502,0.24386,56.012498,86.897239,243.960166,305.937732,-61.977566,1.32587,1.662705,-0.336835,114.434672,0.621928,8022.258308,0.716216,53,0.190909,21,0.809091,89,0.283784,21,0.716216,0.716216,0.716216,0.74742,0.76087,0.20718,0.79282,0.23913,0.758967,0.76087,0.752736,0.781863,302.268,0.126,301.02,0.11,835357,94065,51680,?
output,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t',-5990607817048210779,20160111.0143,357,184,134,50,0,72.826087,27.173913,0,0.495171,0.086266,0.233491,53.989124,83.205793,242.960166,193.13011,49.830057,1.320436,1.04962,0.270816,120.206909,0.653298,8414.678029,0.459459,34,0.072727,8,0.927273,102,0.540541,40,0.809524,0.459459,0.586207,0.816708,0.728261,0.236732,0.763268,0.271739,0.74484,0.728261,0.709011,0.85829,306.929,0.135,305.96,0.12,835357,94065,51680,?
