"category","problem","MH","avg_fit","Opt"
"crafted","brock200_3.clq.cnf","GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",233.93333333333334,"214"
"crafted","brock200_3.clq.cnf","GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",221.33333333333334,"214"
"crafted","brock200_3.clq.cnf","GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",227.66666666666666,"214"
"crafted","brock200_3.clq.cnf","GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",221.2,"214"
"crafted","brock200_3.clq.cnf","PSO pop(20) linear(3) params(1.0, 1.7, 2.3)",221.2,"214"
"crafted","brock200_3.clq.cnf","PSO pop(50) linear(2) params(0.8, 2.3, 2.9)",228.8,"214"
"crafted","brock200_3.clq.cnf","PSO pop(50) linear(5) params(1.0, 1.3, 1.9)",222.93333333333334,"214"
"crafted","brock200_3.clq.cnf","PSO pop(50) ring(2) params(1.0, 1.7, 2.3)",230.13333333333333,"214"
"crafted","brock200_4.clq.cnf","EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",232.66666666666666,"209"
"crafted","brock200_4.clq.cnf","EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",238.8,"209"
"crafted","brock200_4.clq.cnf","EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",211.8,"209"
"crafted","brock200_4.clq.cnf","EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",211.6,"209"
"crafted","brock200_4.clq.cnf","EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",220,"209"
"crafted","brock200_4.clq.cnf","EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",236.13333333333333,"209"
"crafted","brock200_4.clq.cnf","GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",230.33333333333334,"209"
"crafted","brock200_4.clq.cnf","GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",214.2,"209"
"crafted","brock200_4.clq.cnf","GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",222.26666666666668,"209"
"crafted","brock200_4.clq.cnf","GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",214.13333333333333,"209"
"crafted","brock200_4.clq.cnf","PSO pop(20) linear(3) params(1.0, 1.7, 2.3)",215.73333333333332,"209"
"crafted","brock200_4.clq.cnf","PSO pop(50) linear(2) params(0.8, 2.3, 2.9)",223.93333333333334,"209"
