"category","problem","best_fit","Opt"
"random","min1s2v160c800_11.cnf",469.2857142857143,"462"
"random","min1s2v160c800_12.cnf",472.2857142857143,"462"
"random","min1s2v160c800_13.cnf",476,"467"
"random","min1s2v160c800_14.cnf",471.90909090909093,"464"
"random","min1s2v160c800_15.cnf",467.27272727272725,"459"
"random","min1s2v160c800_2.cnf",464.6,"457"
"random","min1s2v160c800_3.cnf",468.93333333333334,"459"
"random","min1s2v160c800_4.cnf",470.90909090909093,"464"
"random","min1s2v160c800_5.cnf",463.2,"455"
"random","min1s2v160c800_6.cnf",452.26666666666665,"445"
"random","min1s2v160c800_7.cnf",470.72727272727275,"460"
"random","min1s2v160c800_8.cnf",471.26666666666665,"464"
"random","min1s2v160c800_9.cnf",465.54545454545456,"459"
"random","min1s2v160c960_0.cnf",571.9333333333333,"562"
"random","min1s2v160c960_1.cnf",589.2,"578"
"random","min1s2v160c960_10.cnf",572.6666666666666,"564"
"random","min1s2v160c960_11.cnf",577.1333333333333,"567"
"random","min1s2v160c960_12.cnf",577.1333333333333,"568"
"random","min1s2v160c960_13.cnf",579.6,"572"
"random","min1s2v160c960_14.cnf",579.6666666666666,"568"
"random","min1s2v160c960_15.cnf",566.4666666666667,"558"
"random","min1s2v160c960_2.cnf",568.4,"561"
"random","min1s2v160c960_3.cnf",574.2666666666667,"563"
"random","min1s2v160c960_4.cnf",583.2666666666667,"574"
"random","min1s2v160c960_5.cnf",581.2666666666667,"571"
"random","min1s2v160c960_6.cnf",555.6,"549"
"random","min1s2v160c960_7.cnf",576.6,"565"
"random","min1s2v160c960_8.cnf",572.0666666666667,"566"
"random","min1s2v160c960_9.cnf",561.8,"555"
"random","min1s2v200c1000_0.cnf",591.8666666666667,"580"
"random","min1s2v200c1000_1.cnf",581.8,"570"
"random","min1s2v200c1000_10.cnf",587.7333333333333,"574"
"random","min1s2v200c1000_11.cnf",583,"570"
"random","min1s2v200c1000_12.cnf",583.4,"569"
"random","min1s2v200c1000_13.cnf",582.9333333333333,"573"
"random","min1s2v200c1000_14.cnf",586.2,"571"
"random","min1s2v200c1000_15.cnf",587.6666666666666,"573"
"random","min1s2v200c1000_2.cnf",589.2,"575"
"random","min1s2v200c1000_3.cnf",587.4,"574"
"random","min1s2v200c1000_4.cnf",583.8666666666667,"570"
"random","min1s2v200c1000_5.cnf",581.1333333333333,"571"
"random","min1s2v200c1000_6.cnf",585.4666666666667,"570"
"random","min1s2v200c1000_7.cnf",571.3333333333334,"561"
"random","min1s2v200c1000_8.cnf",571.6,"559"
"random","min1s2v200c1000_9.cnf",576.4666666666667,"563"
"random","min1s2v200c1200_0.cnf",723.5333333333333,"708"
"random","min1s2v200c1200_1.cnf",717.6,"699"
"random","min1s2v200c1200_10.cnf",725,"708"
"random","min1s2v200c1200_11.cnf",715.9333333333333,"699"
"random","min1s2v200c1200_12.cnf",720.8,"704"
"random","min1s2v200c1200_13.cnf",724.8,"710"
"random","min1s2v200c1200_14.cnf",725.7333333333333,"707"
"random","min1s2v200c1200_15.cnf",724.0666666666667,"709"
"random","min1s2v200c1200_2.cnf",725.0666666666667,"706"
"random","min1s2v200c1200_3.cnf",720.3333333333334,"703"
"random","min1s2v200c1200_4.cnf",723.8666666666667,"710"
"random","min1s2v200c1200_5.cnf",714.9333333333333,"700"
"random","min1s2v200c1200_6.cnf",725.0666666666667,"709"
"random","min1s2v200c1200_7.cnf",719.6666666666666,"704"
"random","min1s2v200c1200_8.cnf",700.3333333333334,"685"
"random","min1s2v200c1200_9.cnf",709.3333333333334,"696"
"random","min1s2v200c800_0.cnf",456,"446"
"random","min1s2v200c800_1.cnf",456.73333333333335,"444"
"random","min1s2v200c800_10.cnf",449.53333333333336,"438"
"random","min1s2v200c800_11.cnf",448.6666666666667,"437"
"random","min1s2v200c800_12.cnf",444.2,"436"
"random","min1s2v200c800_13.cnf",452.8666666666667,"439"
"random","min1s2v200c800_14.cnf",444.93333333333334,"436"
"random","min1s2v200c800_15.cnf",450,"438"
"random","min1s2v200c800_2.cnf",449.1333333333333,"438"
"random","min1s2v200c800_3.cnf",448.26666666666665,"439"
"random","min1s2v200c800_4.cnf",445.93333333333334,"437"
"random","min1s2v200c800_5.cnf",444.8,"435"
"random","min1s2v200c800_6.cnf",454.1818181818182,"445"
"random","min1s2v200c800_7.cnf",449.73333333333335,"440"
"random","min1s2v200c800_8.cnf",444.26666666666665,"436"
"random","min1s2v200c800_9.cnf",449.3333333333333,"438"
"random","s2v120c1200-1.cnf",167.8181818181818,"161"
"random","s2v120c1200-10.cnf",157.72727272727272,"154"
"random","s2v120c1200-2.cnf",165.36363636363637,"159"
"random","s2v120c1200-3.cnf",170.45454545454547,"160"
"random","s2v120c1200-4.cnf",162.45454545454547,"157"
"random","s2v120c1200-5.cnf",146.8181818181818,"143"
"random","s2v120c1200-6.cnf",173.45454545454547,"167"
"random","s2v120c1200-7.cnf",170.45454545454547,"162"
"random","s2v120c1200-8.cnf",171.9090909090909,"165"
"random","s2v120c1200-9.cnf",151.9090909090909,"148"
"random","s2v120c1300-1.cnf",186.72727272727272,"180"
"random","s2v120c1300-10.cnf",185.26666666666668,"180"
"random","s2v120c1300-2.cnf",177.45454545454547,"172"
"random","s2v120c1300-3.cnf",182.9090909090909,"173"
"random","s2v120c1300-4.cnf",182.54545454545453,"176"
"random","s2v120c1300-5.cnf",172.77777777777777,"168"
"random","s2v120c1300-6.cnf",184.33333333333334,"180"
"random","s2v120c1300-7.cnf",175.33333333333334,"169"
"random","s2v120c1300-8.cnf",181.4,"174"
"random","s2v120c1300-9.cnf",190.66666666666666,"186"
"random","s2v120c1400-1.cnf",206.44444444444446,"197"
"random","s2v120c1400-10.cnf",220.33333333333334,"211"
"random","s2v120c1400-2.cnf",197.6,"191"
"random","s2v120c1400-3.cnf",195,"189"
"random","s2v120c1400-4.cnf",209.6,"200"
"random","s2v120c1400-5.cnf",207.77777777777777,"199"
"random","s2v120c1400-6.cnf",201.06666666666666,"196"
"random","s2v120c1400-7.cnf",215.66666666666666,"206"
"random","s2v120c1400-8.cnf",201.11111111111111,"194"
"random","s2v120c1400-9.cnf",204.66666666666666,"198"
"random","s2v120c1500-1.cnf",218.33333333333334,"211"
"random","s2v120c1500-10.cnf",221.44444444444446,"213"
"random","s2v120c1500-2.cnf",219.86666666666667,"213"
"random","s2v120c1500-3.cnf",214.4,"207"
"random","s2v120c1500-4.cnf",219,"212"
"random","s2v120c1500-5.cnf",244.44444444444446,"233"
"random","s2v120c1500-6.cnf",215,"209"
"random","s2v120c1500-7.cnf",222.06666666666666,"216"
"random","s2v120c1500-8.cnf",219.06666666666666,"212"
"random","s2v120c1500-9.cnf",229.66666666666666,"223"
"random","s2v120c1600-1.cnf",239.46666666666667,"233"
"random","s2v120c1600-10.cnf",239.73333333333332,"233"
"random","s2v120c1600-2.cnf",245.4,"239"
"random","s2v120c1600-3.cnf",239.66666666666666,"233"
"random","s2v120c1600-4.cnf",225.06666666666666,"219"
"random","s2v120c1600-5.cnf",252.33333333333334,"247"
"random","s2v120c1600-6.cnf",240.8,"235"
"random","s2v120c1600-7.cnf",231.66666666666666,"225"
"random","s2v120c1600-8.cnf",246.66666666666666,"237"
"random","s2v120c1600-9.cnf",245.6,"240"
"random","s2v140c1200-1.cnf",153.22222222222223,"144"
"random","s2v140c1200-10.cnf",147.86666666666667,"140"
"random","s2v140c1200-2.cnf",162.77777777777777,"155"
"random","s2v140c1200-3.cnf",165.22222222222223,"155"
"random","s2v140c1200-4.cnf",158.06666666666666,"148"
"random","s2v140c1200-5.cnf",147.88888888888889,"143"
"random","s2v140c1200-6.cnf",157.77777777777777,"148"
"random","s2v140c1200-7.cnf",157.06666666666666,"148"
"random","s2v140c1200-8.cnf",160.22222222222223,"152"
"random","s2v140c1200-9.cnf",156.66666666666666,"151"
"random","s2v140c1300-1.cnf",170.06666666666666,"162"
"random","s2v140c1300-10.cnf",180.6,"170"
"random","s2v140c1300-2.cnf",178.33333333333334,"171"
"random","s2v140c1300-3.cnf",177.26666666666668,"168"
"random","s2v140c1300-4.cnf",171.22222222222223,"164"
"random","s2v140c1300-5.cnf",177.66666666666666,"169"
"random","s2v140c1300-6.cnf",174.6,"168"
"random","s2v140c1300-7.cnf",167.26666666666668,"160"
"random","s2v140c1300-8.cnf",161.88888888888889,"157"
"random","s2v140c1300-9.cnf",171.33333333333334,"162"
"random","s2v140c1400-1.cnf",190.33333333333334,"182"
"random","s2v140c1400-10.cnf",201.33333333333334,"188"
"random","s2v140c1400-2.cnf",191.77777777777777,"178"
"random","s2v140c1400-3.cnf",201.55555555555554,"193"
"random","s2v140c1400-4.cnf",193.13333333333333,"184"
"random","s2v140c1400-5.cnf",195.4,"187"
"random","s2v140c1400-6.cnf",195.33333333333334,"188"
"random","s2v140c1400-7.cnf",196.33333333333334,"187"
"random","s2v140c1400-8.cnf",189.86666666666667,"181"
"random","s2v140c1400-9.cnf",195.88888888888889,"185"
"random","s2v140c1500-1.cnf",212.13333333333333,"205"
"random","s2v140c1500-10.cnf",210.33333333333334,"202"
"random","s2v140c1500-2.cnf",208.4,"199"
"random","s2v140c1500-3.cnf",222,"212"
"random","s2v140c1500-4.cnf",206.26666666666668,"197"
"random","s2v140c1500-5.cnf",214.06666666666666,"205"
"random","s2v140c1500-6.cnf",207.86666666666667,"198"
"random","s2v140c1500-7.cnf",213.53333333333333,"202"
"random","s2v140c1500-8.cnf",210,"199"
"random","s2v140c1500-9.cnf",204.6,"199"
"random","s2v140c1600-1.cnf",228.11111111111111,"221"
"random","s2v140c1600-10.cnf",235.77777777777777,"226"
"random","s2v140c1600-2.cnf",229.88888888888889,"221"
"random","s2v140c1600-3.cnf",236.86666666666667,"226"
"random","s2v140c1600-4.cnf",231.2,"220"
"random","s2v140c1600-5.cnf",237.86666666666667,"228"
"random","s2v140c1600-6.cnf",229.46666666666667,"220"
"random","s2v140c1600-7.cnf",225.93333333333334,"218"
"random","s2v140c1600-8.cnf",238.26666666666668,"227"
"random","s2v140c1600-9.cnf",239.13333333333333,"228"
"random","s3v70c1000-1.cnf",54.22222222222222,"47"
